Approved symbol	Status	Previous symbols	Alias symbols	RefSeq IDs	Ensembl ID(supplied by Ensembl)
EIF4E1B	Approved		FLJ36951	NM_001099408	ENSG00000175766
EIF4E2	Approved	EIF4EL3	IF4e, 4EHP	NM_004846	ENSG00000135930
EIF4E2P1	Approved	EIF4EL4	dJ1049G11.3	NG_005202	ENSG00000213384
EIF4E2P2	Approved				ENSG00000244157
EIF4E3	Approved		MGC39820	NM_173359	ENSG00000163412
EIF4EBP1	Approved		PHAS-I, 4E-BP1	NM_004095	ENSG00000187840
EIF4EBP1P1	Approved	EIF4EBP1P			ENSG00000258870
EIF4EBP1P2	Approved			NG_005781	
EIF4EBP2	Approved			NM_004096	ENSG00000148730
EIF4EBP2P1	Approved	EIF4EBP2P	dJ862K6.3	NG_001034	ENSG00000233711
EIF4EBP2P2	Approved				ENSG00000260282
EIF4EBP2P3	Approved				ENSG00000220505
EIF4EBP3	Approved		4E-BP3	NM_003732	ENSG00000243056
EIF4EL1	Symbol Withdrawn				
EIF4ENIF1	Approved		4E-T, FLJ21601, Clast4, 2610509L04Rik	NM_019843	ENSG00000184708
EIF4EP1	Approved	EIF4EL2	dJ1022P6.3		ENSG00000233578
EIF4EP2	Approved			NG_023334	ENSG00000229944
EIF4EP3	Approved				ENSG00000244199
EIF4EP4	Approved				ENSG00000232968
EIF4EP5	Approved				ENSG00000214366
EIF4F	Symbol Withdrawn				
EIF4G	Symbol Withdrawn				
EIF4G1	Approved	EIF4G, EIF4F	p220, PARK18	NM_182917	ENSG00000114867
EIF4G2	Approved		DAP5, NAT1, p97	NM_001418	ENSG00000110321
EIF4G3	Approved		eIF4GII	NM_003760	ENSG00000075151
EIF4H	Approved	WBSCR1	WSCR1, KIAA0038	NM_022170	ENSG00000106682
EIF4HP1	Approved				ENSG00000233830
EIF4HP2	Approved				ENSG00000237977
EIF5	Approved			NM_001969	ENSG00000100664
EIF5-DT	Approved				
EIF5A	Approved		EIF5A1, EIF-5A, MGC99547, MGC104255	NM_001970	ENSG00000132507
EIF5A2	Approved				ENSG00000163577
EIF5A2P1	Approved				ENSG00000260576
EIF5AL1	Approved	EIF5AP1	bA342M3.3	NM_001099692	ENSG00000253626
EIF5AP1	Symbol Withdrawn				
EIF5AP2	Approved				ENSG00000267679
EIF5AP3	Approved				ENSG00000267346
EIF5AP4	Approved	EIF5AL3			ENSG00000234743
EIF5B	Approved		IF2, KIAA0741, DKFZp434I036, FLJ10524	NM_015904	ENSG00000158417
EIF5P1	Approved				ENSG00000215319
EIF5P2	Approved				ENSG00000275800
EIF6	Approved	EIF3A, ITGB4BP	p27BBP, b(2)gcn	NM_002212	ENSG00000242372
EIPR1	Approved	TSSC1	EIPR-1	NM_003310	ENSG00000032389
EIPR1-IT1	Approved	TSSC1-IT1			ENSG00000224885
EJM1	Symbol Withdrawn	EJM			
EJM2	Entry Withdrawn		EIG7		
EKV	Symbol Withdrawn	EKV			
EKV3	Symbol Withdrawn				
ELAC1	Approved		D29		ENSG00000141642
ELAC2	Approved		FLJ10530, HPC2		ENSG00000006744
ELAM1	Symbol Withdrawn				
ELANE	Approved	ELA2	NE, HNE, HLE, PMN-E	NM_001972	ENSG00000197561
ELANH2	Symbol Withdrawn				
ELAPOR1	Approved	KIAA1324	maba1, EIG121	NM_020775	ENSG00000116299
ELAPOR2	Approved	KIAA1324L	FLJ31340, EIG121L	NM_152748	ENSG00000164659
ELAVL1	Approved	HUR	HuR, Hua, MelG	NM_001419	ENSG00000066044
ELAVL2	Approved		HuB, HEL-N1	NM_004432	ENSG00000107105
ELAVL3	Approved		HUC, PLE21, DKFZp547J036, HUCL, MGC20653	NM_001420	ENSG00000196361
ELAVL4	Approved	HUD	PNEM	NM_021952	ENSG00000162374
ELAVL4-AS1	Approved				ENSG00000237337
ELDR	Approved	LINC01156	Fabl		ENSG00000280890
ELF1	Approved			NM_172373	ENSG00000120690
ELF2	Approved		EU32, NERF, NERF-2, NERF-1A, NERF-1B	NM_006874	ENSG00000109381
ELF2P1	Approved			NG_006555	ENSG00000234345
ELF2P2	Approved			NG_002340	
ELF2P3	Approved			NG_002341	ENSG00000232743
ELF2P4	Approved			NG_006556	ENSG00000225406
ELF3	Approved	ESX	EPR-1, ESE-1, ERT	NM_004433	ENSG00000163435
ELF3-AS1	Approved		ENST00000415582, SCAT7	NR_146472	ENSG00000234678
ELF4	Approved		MEF, ELFR	NM_001421	ENSG00000102034
ELF5	Approved			NM_198381	ENSG00000135374
ELFN1	Approved	PPP1R28		NM_001128636	ENSG00000225968
ELFN1-AS1	Approved		MYCLo-2		ENSG00000236081
ELFN2	Approved	LRRC62, PPP1R29	dJ63G5.3, KIAA1904	NM_052906	ENSG00000166897
ELK1	Approved			NM_005229	ENSG00000126767
ELK1P1	Approved			NG_006972	ENSG00000234359
ELK2	Symbol Withdrawn				
ELK2AP	Approved	ELK2, ELK2P1	ELK2.1		ENSG00000213140
ELK2BP	Approved	ELK2P2	ELK2.2		ENSG00000234402
ELK3	Approved		ERP, NET, SAP2	NM_005230	ENSG00000111145
ELK4	Approved		SAP1	NM_021795	ENSG00000158711
ELL	Approved	C19orf17	Men, ELL1, PPP1R68	NM_006532	ENSG00000105656
ELL2	Approved		MRCCAT1	NM_012081	ENSG00000118985
ELL2P1	Approved				ENSG00000227295
ELL2P2	Approved				ENSG00000251051
ELL2P3	Approved			NG_028874	ENSG00000234765
ELL2P4	Approved				ENSG00000226388
ELL3	Approved		FLJ22637	NM_025165	ENSG00000128886
ELMO1	Approved		KIAA0281, CED12, ELMO-1, CED-12	NM_130442	ENSG00000155849
ELMO1-AS1	Approved				ENSG00000224101
ELMO2	Approved		CED12, ELMO-2, CED-12, KIAA1834, FLJ11656	NM_022086	ENSG00000062598
ELMO2P1	Approved				ENSG00000276172
ELMO3	Approved		FLJ13824, CED12, ELMO-3, CED-12	NM_024712	ENSG00000102890
ELMOD1	Approved		DKFZp547C176	NM_018712	ENSG00000110675
ELMOD2	Approved		MGC10084	NM_153702	ENSG00000179387
ELMOD3	Approved	RBM29, RBED1, DFNB88	FLJ21977	NM_032213	ENSG00000115459
ELN	Approved		WBS, WS, SVAS	NM_000501	ENSG00000049540
ELN-AS1	Approved		CTB-51J22.1		ENSG00000232415
ELNL1	Entry Withdrawn				
ELNR1	Symbol Withdrawn	ELNR1			
ELOA	Approved	TCEB3	SIII, TCEB3A	NM_003198	ENSG00000011007
ELOA-AS1	Approved	TCEB3-AS1			ENSG00000236810
ELOA2	Approved	TCEB3B	HsT832, TCEB3L	NM_016427	ENSG00000206181
ELOA3BP	Approved	TCEB3CL, ELOA3B	HsT828		
ELOA3CP	Approved	ELOA3C			ENSG00000275553
ELOA3DP	Approved	TCEB3CL2, ELOA3D		NG_070700	
ELOA3P	Approved	TCEB3C, ELOA3	HsT829, TCEB3L2, ELOA3A, ELOA3AP	NG_016749	
ELOAP1	Approved			NG_023725	ENSG00000235640
ELOB	Approved	TCEB2	SIII	NM_007108	ENSG00000103363
ELOBP1	Approved	TCEB2P1			ENSG00000234152
ELOBP2	Approved	TCEB2P2			ENSG00000255262
ELOBP3	Approved	TCEB2P3			ENSG00000232285
ELOBP4	Approved	TCEB2P4			ENSG00000234167
ELOC	Approved	TCEB1	SIII	NM_005648	ENSG00000154582
ELOCP2	Approved	TCEB1P2		NG_003219	ENSG00000259838
ELOCP3	Approved	TCEB1P3	dJ254P11.1		ENSG00000229919
ELOCP4	Approved	TCEB1P4			ENSG00000232924
ELOCP5	Approved	TCEB1P5			ENSG00000271123
ELOCP6	Approved	TCEB1P6			ENSG00000225740
ELOCP7	Approved	TCEB1P7			ENSG00000230377
ELOCP8	Approved	TCEB1P8			ENSG00000234131
ELOCP9	Approved	TCEB1P9			ENSG00000231540
ELOCP10	Approved	TCEB1P10			ENSG00000234081
ELOCP11	Approved	TCEB1P11			ENSG00000227867
ELOCP12	Approved	TCEB1P12			ENSG00000230412
ELOCP13	Approved	TCEB1P13			ENSG00000225716
ELOCP14	Approved	TCEB1P14			ENSG00000228193
ELOCP15	Approved	TCEB1P15			ENSG00000232029
ELOCP16	Approved	TCEB1P16			ENSG00000227915
ELOCP17	Approved	TCEB1P17			ENSG00000232695
ELOCP18	Approved	TCEB1P18			ENSG00000237622
ELOCP19	Approved	TCEB1P19			ENSG00000241975
ELOCP20	Approved	TCEB1P20			ENSG00000229101
ELOCP21	Approved	TCEB1P21			ENSG00000226186
ELOCP22	Approved	TCEB1P22			ENSG00000255006
ELOCP23	Approved	TCEB1P23			ENSG00000224686
ELOCP24	Approved	TCEB1P25, TCEB1P24			ENSG00000228410
ELOCP26	Approved	TCEB1P26			ENSG00000236599
ELOCP27	Approved	TCEB1P27			ENSG00000265545
ELOCP28	Approved	TCEB1P28			ENSG00000105694
ELOCP29	Approved	TCEB1P29			ENSG00000267418
ELOCP30	Approved	TCEB1P30			ENSG00000223746
ELOCP31	Approved	TCEB1P31			ENSG00000256021
ELOCP32	Approved	TCEB1P32			ENSG00000257465
ELOCP33	Approved	TCEB1P33			ENSG00000271278
ELOCP34	Approved	TCEB1P34			ENSG00000270535
ELOCP35	Approved	TCEB1P35			ENSG00000271595
ELOCP36	Approved				ENSG00000225896
ELOF1	Approved		MGC4549, ELF1	NM_032377	ENSG00000130165
ELOVL1	Approved		Ssc1	NM_022821	ENSG00000066322
ELOVL2	Approved		Ssc2		ENSG00000197977
ELOVL2-AS1	Approved			NR_038962	ENSG00000230314
ELOVL3	Approved		CIG-30	NM_152310	ENSG00000119915
ELOVL4	Approved	STGD2, STGD3, SCA34	CT118		ENSG00000118402
ELOVL5	Approved	SCA38	HELO1, dJ483K16.1	NM_021814	ENSG00000012660
ELOVL6	Approved		FLJ23378, MGC5487, LCE	NM_024090	ENSG00000170522
ELOVL7	Approved		FLJ23563		ENSG00000164181
ELP1	Approved	DYS, IKBKAP	IKAP, TOT1, IKI3		ENSG00000070061
ELP2	Approved	STATIP1	FLJ10879, StIP	NM_018255	ENSG00000134759
ELP3	Approved		FLJ10422, KAT9	NM_018091	ENSG00000134014
ELP4	Approved	C11orf19	PAXNEB	NM_019040	ENSG00000109911
ELP5	Approved	C17orf81	DERP6	NM_015362	ENSG00000170291
ELP6	Approved	TMEM103, C3orf75	FLJ20211	NM_017713	ENSG00000163832
ELSPBP1	Approved		HE12, E12, EDDM12		ENSG00000169393
EMB	Approved		MGC71745	NM_198449	ENSG00000170571
EMBP1	Approved			NR_003955	ENSG00000231752
EMC1	Approved	KIAA0090		NM_015047	ENSG00000127463
EMC1-AS1	Approved			NR_135114	ENSG00000230424
EMC2	Approved	KIAA0103, TTC35		NM_014673	ENSG00000104412
EMC3	Approved	TMEM111		NM_018447	ENSG00000125037
EMC3-AS1	Approved				ENSG00000180385
EMC4	Approved	TMEM85	FLJ90746, MGC24415, PIG17	NM_016454	ENSG00000128463
EMC6	Approved	TMEM93	MGC2963, RAB5IFL	NM_031298	ENSG00000127774
EMC7	Approved	C15orf24	C11orf3	NM_020154	ENSG00000134153
EMC8	Approved	C16orf4, NOC4, C16orf2, COX4NB	FAM158B	NM_006067	ENSG00000131148
EMC9	Approved	C14orf122, FAM158A	CGI-112	NM_016049	ENSG00000100908
EMC10	Approved	C19orf63	INM02, HSS1, HSM1	NM_175063	ENSG00000161671
EMCN	Approved		MUC14	NM_016242	ENSG00000164035
EMD	Approved		STA, LEMD5		ENSG00000102119
EME1	Approved		FLJ31364, MMS4L, SLX2A	NM_152463	ENSG00000154920
EME2	Approved		FLJ00151, SLX2B	NM_001010865	ENSG00000197774
EMG1	Approved		C2F, NEP1, Grcc2f	NM_006331	ENSG00000126749
EMID1	Approved		EMU1, hEmu1, EMI5	NM_133455	ENSG00000186998
EMILIN1	Approved		DKFZp586M121, gp115, EMILIN	NM_007046	ENSG00000138080
EMILIN2	Approved		FLJ33200, FOAP-10	NM_032048	ENSG00000132205
EMILIN3	Approved	C20orf130, EMILIN5	dJ620E11.4	NM_052846	ENSG00000183798
EMILIN5	Symbol Withdrawn				
EML1	Approved	EMAPL	EMAP, HuEMAP, ELP79	NM_001008707	ENSG00000066629
EML2	Approved		EMAP2, ELP70, EMAP-2	NM_012155	ENSG00000125746
EML2-AS1	Approved	C19orf83		NR_130728	ENSG00000267757
EML3	Approved		FLJ35827, ELP95	NM_153265	ENSG00000149499
EML4	Approved	C2orf2	ROPP120, ELP120	NM_019063	ENSG00000143924
EML4-AS1	Approved			NR_110584	ENSG00000224875
EML5	Approved		HuEMAP-2, EMAP-2, FAP16		ENSG00000165521
EML6	Approved		FLJ42562	NM_001039753	ENSG00000214595
EML6-AS1	Approved				ENSG00000231334
EMP1	Approved		TMP, CL-20	NM_001423	ENSG00000134531
EMP2	Approved		XMP	NM_001424	ENSG00000213853
EMP2P1	Approved			NG_023036	ENSG00000231655
EMP3	Approved		YMP	NM_001425	ENSG00000142227
EMSLR	Approved		EMS	NR_110115	ENSG00000232445
EMSY	Approved	C11orf30		NM_020193	ENSG00000158636
EMSY-DT	Approved				ENSG00000255135
EMWX	Entry Withdrawn				
EMX1	Approved				ENSG00000135638
EMX2	Approved			NM_004098	ENSG00000170370
EMX2OS	Approved		NCRNA00045, EMX2-AS1	NR_002791	ENSG00000229847
EN1	Approved				ENSG00000163064
EN2	Approved			NM_001427	ENSG00000164778
EN2-DT	Approved				
ENAH	Approved		FLJ10773, NDPP1, MENA	NM_018212	ENSG00000154380
ENAM	Approved	AIH2		NM_031889	ENSG00000132464
ENC1	Approved	NRPB	PIG10, ENC-1, TP53I10, KLHL37	NM_003633	ENSG00000171617
ENDOD1	Approved		KIAA0830	NM_015036	ENSG00000149218
ENDOG	Approved			NM_004435	ENSG00000167136
ENDOGL2	Symbol Withdrawn	ENDOGL2	ENGL-b		
ENDOU	Approved		PP11, P11, PRSS26	NM_006025.2	ENSG00000111405
ENDOV	Approved		FLJ35220	NM_173627	ENSG00000173818
ENG	Approved	ORW1, ORW	END, HHT1, CD105		ENSG00000106991
ENGASE	Approved		FLJ21865	NM_022759	ENSG00000167280
ENHO	Approved	C9orf165	UNQ470	NM_198573	ENSG00000168913
ENKD1	Approved	C16orf48	DKFZP434A1319, FBB11	NM_032140	ENSG00000124074
ENKUR	Approved	C10orf63	MGC26778, enkurin, CFAP106	NM_145010	ENSG00000151023
ENO1	Approved	ENO1L1, MPB1	PPH, MBP-1	NM_001428	ENSG00000074800
ENO1-AS1	Approved				ENSG00000230679
ENO1-IT1	Approved				
ENO1L1	Symbol Withdrawn				
ENO1P1	Approved	ENO1P		NG_001115	ENSG00000244457
ENO1P2	Approved			NG_022137	ENSG00000258739
ENO1P3	Approved				ENSG00000243986
ENO1P4	Approved				ENSG00000241790
ENO2	Approved				ENSG00000111674
ENO3	Approved				ENSG00000108515
ENO4	Approved	C10orf134	AC023283.3	NM_001242699	ENSG00000188316
ENOPH1	Approved		MASA, E1, mtnC	NM_021204	ENSG00000145293
ENOSF1	Approved		HSRTSBETA, rTS, TYMSAS, FUCD	NM_017512	ENSG00000132199
ENOX1	Approved		FLJ10094, PIG38, CNOX, cCNOX	NM_017993	ENSG00000120658
ENOX1-AS1	Approved				ENSG00000233821
ENOX1-AS2	Approved				ENSG00000238189
ENOX2	Approved	COVA1	APK1, tNOX	NM_182314	ENSG00000165675
ENPEP	Approved		gp160, CD249		ENSG00000138792
ENPP1	Approved	NPPS, M6S1, PDNP1	PC-1, PCA1		ENSG00000197594
ENPP2	Approved	PDNP2	ATX, PD-IALPHA		ENSG00000136960
ENPP3	Approved	PDNP3	PD-IBETA, gp130RB13-6, B10, CD203c		ENSG00000154269
ENPP4	Approved		NPP4, KIAA0879, AP3Aase		ENSG00000001561
ENPP5	Approved				ENSG00000112796
ENPP6	Approved		MGC33971	NM_153343	ENSG00000164303
ENPP7	Approved		alk-SMase, NPP7	NM_178543	ENSG00000182156
ENPP7P1	Approved				ENSG00000249188
ENPP7P2	Approved				ENSG00000239959
ENPP7P3	Approved				ENSG00000248618
ENPP7P4	Approved				ENSG00000241278
ENPP7P5	Approved				ENSG00000256589
ENPP7P6	Approved				ENSG00000255549
ENPP7P7	Approved				ENSG00000273819
ENPP7P8	Approved				ENSG00000255319
ENPP7P9	Approved				ENSG00000250476
ENPP7P10	Approved				ENSG00000249767
ENPP7P11	Approved				ENSG00000250942
ENPP7P12	Approved				ENSG00000254527
ENPP7P13	Approved		DUNQU1		ENSG00000261580
ENPP7P14	Approved				ENSG00000273963
ENPP7P15	Approved				
ENSA	Approved		MGC4319, MGC8394, MGC78563, ARPP-19e	NM_207042	ENSG00000143420
ENSAP1	Approved	ENSAP	dJ822J19.1		ENSG00000224274
ENSAP2	Approved			NG_002495	ENSG00000259032
ENSAP3	Approved				ENSG00000177261
ENT1	Symbol Withdrawn				
ENT2	Symbol Withdrawn				
ENTHD1	Approved		FLJ25421	NM_152512	ENSG00000176177
ENTPD1	Approved	CD39	NTPDase-1, ATPDase, SPG64	NM_001776	ENSG00000138185
ENTPD1-AS1	Approved			NR_038444	ENSG00000226688
ENTPD2	Approved	CD39L1	NTPDase-2	NM_203468	ENSG00000054179
ENTPD3	Approved	CD39L3	NTPDase-3, HB6	NM_001248	ENSG00000168032
ENTPD3-AS1	Approved		FLJ36665	NR_040100	ENSG00000223797
ENTPD4	Approved	LYSAL1	LALP70, LAP70, KIAA0392, NTPDase-4, UDPase	NM_004901	ENSG00000197217
ENTPD4-DT	Approved				ENSG00000253390
ENTPD5	Approved	CD39L4, PCPH	NTPDase-5	NM_001249	ENSG00000187097
ENTPD6	Approved	CD39L2, IL6ST2	NTPDase-6, dJ738P15.3		ENSG00000197586
ENTPD7	Approved		LALP1, FLJ30978	NM_020354	ENSG00000198018
ENTPD8	Approved		UNQ2492, NTPDase-8	NM_198585	ENSG00000188833
ENTR1	Approved	SDCCAG3	NY-CO-3	NM_006643	ENSG00000165689
ENTR1P1	Approved	SDCCAG3L, SDCCAG3P1		NG_005510	ENSG00000256704
ENTR1P2	Approved	SDCCAG3P2		NG_022743	ENSG00000181101
ENUR1	Entry Withdrawn				
ENUR2	Entry Withdrawn				
ENX2	Symbol Withdrawn				
ENY2	Approved		DC6, FLJ20480, Sus1	NM_020189	ENSG00000120533
EOGT	Approved	C3orf64	AER61, FLJ33770	NM_173654	ENSG00000163378
EOGT-DT	Approved				
EOLA1	Approved	CXorf40, CXorf40A		NM_178124	ENSG00000197620
EOLA1-DT	Approved	LINC00893		NR_027455	ENSG00000241769
EOLA2	Approved	CXorf40B		NM_001013845	ENSG00000197021
EOLA2-DT	Approved	LINC00894		NR_027456	ENSG00000235703
EOMES	Approved		TBR2	NM_005442	ENSG00000163508
EP300	Approved		p300, KAT3B	NM_001429	ENSG00000100393
EP300-AS1	Approved				ENSG00000231993
EP400	Approved	TNRC12	CAGH32, KIAA1498, P400, KIAA1818, DKFZP434I225	NM_015409	ENSG00000183495
EP400P1	Approved	EP400NL	FLJ33915	NR_003290	ENSG00000185684
EPAS1	Approved		MOP2, PASD2, HIF2A, HLF, bHLHe73	NM_001430	ENSG00000116016
EPB3	Symbol Withdrawn				
EPB3L1	Symbol Withdrawn				
EPB41	Approved	EL1	4.1R	NM_203342	ENSG00000159023
EPB41L1	Approved		KIAA0338, 4.1N	NM_012156	ENSG00000088367
EPB41L1-AS1	Approved			NR_147703	
EPB41L2	Approved		4.1-G, 4.1G		ENSG00000079819
EPB41L3	Approved		DAL1, KIAA0987, 4.1B	NM_012307	ENSG00000082397
EPB41L4A	Approved		NBL4		ENSG00000129595
EPB41L4A-AS1	Approved	C5orf26, NCRNA00219	TIGA1	NR_015370	ENSG00000224032
EPB41L4A-DT	Approved	EPB41L4A-AS2	FLJ11235	NR_027706	ENSG00000278921
EPB41L4B	Approved		EHM2, LULU2	NM_018424	ENSG00000095203
EPB41L5	Approved		KIAA1548, FLJ12957, BE37, YMO1, YRT, LULU, LULU1	NM_020909	ENSG00000115109
EPB42	Approved		PA, MGC116735, MGC116737	NM_000119	ENSG00000166947
EPC1	Approved		Epl1		ENSG00000120616
EPC1-AS1	Approved			NR_104163	
EPC2	Approved		DKFZP566F2124	NM_015630	ENSG00000135999
EPCAM	Approved	M4S1, MIC18, TACSTD1	Ly74, TROP1, GA733-2, EGP34, EGP40, EGP-2, KSA, CD326, Ep-CAM, HEA125, KS1/4, MK-1, MH99, MOC31, MOC-31, 323/A3, 17-1A, TACST-1, CO-17A, ESA, BerEp4, Ber-Ep4		ENSG00000119888
EPCAM-DT	Approved			NR_110208	ENSG00000234690
EPCART	Approved		TPCAT-2-180961, PRCAT122, PCAT-2-180961		
EPD1	Symbol Withdrawn				
EPDR1	Approved		MERP-1, MERP1, UCC1, EPDR	NM_017549	ENSG00000086289
EPG5	Approved	KIAA1632	hEPG5	NM_020964	ENSG00000152223
EPGN	Approved		EPG, PRO9904, ALGV3072	NM_001013442	ENSG00000182585
EPHA1	Approved	EPHT, EPHT1	EPH		ENSG00000146904
EPHA1-AS1	Approved			NR_033897	ENSG00000229153
EPHA2	Approved	ECK		NM_004431	ENSG00000142627
EPHA2-AS1	Approved				
EPHA3	Approved	ETK, ETK1, TYRO4	HEK, HEK4	NM_005233	ENSG00000044524
EPHA4	Approved	TYRO1	Hek8		ENSG00000116106
EPHA5	Approved		Hek7, TYRO4, CEK7, EHK1	NM_004439	ENSG00000145242
EPHA5-AS1	Approved				ENSG00000250846
EPHA6	Approved		FLJ35246	NM_001080448	ENSG00000080224
EPHA7	Approved		Hek11		ENSG00000135333
EPHA8	Approved	EEK	Hek3	NM_020526	ENSG00000070886
EPHA10	Approved		FLJ16103, FLJ33655	NM_173641	ENSG00000183317
EPHB1	Approved	EPHT2	Hek6	NM_004441	ENSG00000154928
EPHB2	Approved	DRT, ERK, EPHT3	Hek5, Tyro5	NM_017449	ENSG00000133216
EPHB3	Approved	ETK2	Hek2, Tyro6	NM_004443	ENSG00000182580
EPHB4	Approved	HTK	Tyro11	NM_004444	ENSG00000196411
EPHB6	Approved		HEP		ENSG00000106123
EPHT1	Symbol Withdrawn				
EPHT2	Symbol Withdrawn				
EPHT3	Symbol Withdrawn				
EPHTLG	Entry Withdrawn				
EPHX1	Approved	EPHX		NM_000120	ENSG00000143819
EPHX2	Approved		ABHD20	NM_001979	ENSG00000120915
EPHX3	Approved	ABHD9	FLJ22408	NM_024794	ENSG00000105131
EPHX4	Approved	ABHD7	EPHXRP, FLJ90341, EH4	NM_173567	ENSG00000172031
EPIC1	Approved		Lnc-EPIC1	NR_122046	
EPIST	Approved	C5orf66-AS1	CTC-276P9.1, Epist	NR_105049	ENSG00000249082
EPLG1	Symbol Withdrawn				
EPLG2	Symbol Withdrawn				
EPLG3	Symbol Withdrawn				
EPLG4	Symbol Withdrawn				
EPLG5	Symbol Withdrawn				
EPLG6	Symbol Withdrawn				
EPLG7	Symbol Withdrawn				
EPLG8	Symbol Withdrawn				
EPM1	Symbol Withdrawn				
EPM2A	Approved		LDE, LD		ENSG00000112425
EPM2A-DT	Approved	FBXO30-DT		NR_038244	ENSG00000235652
EPM2AIP1	Approved		KIAA0766, FLJ11207	NM_014805	ENSG00000178567
EPMR	Symbol Withdrawn				
EPN1	Approved			NM_013333	ENSG00000063245
EPN2	Approved		KIAA1065, EHB21	NM_014964	ENSG00000072134
EPN2-AS1	Approved			NR_048576	ENSG00000235397
EPN2-IT1	Approved			NR_046824	
EPN3	Approved		FLJ20778, MGC129899	NM_017957	ENSG00000049283
EPO	Approved		EP	NM_000799	ENSG00000130427
EPOP	Approved	C17orf96	LOC100170841, PRR28	NM_001130677	ENSG00000273604
EPOR	Approved				ENSG00000187266
EPPIN	Approved	SPINLW1	EPPIN1, EPPIN2, EPPIN3, dJ461P17.2, WAP7, WFDC7, CT71		ENSG00000101448
EPPIN-WFDC6	Approved	SPINLW1-WFDC6		NM_001198986.1	ENSG00000249139
EPPK1	Approved		EPIPL1	NM_031308	ENSG00000261150
EPR1	Entry Withdrawn		EPR-1, BIRC5AS, NCRNA00007, BIRC5-AS1		
EPRS1	Approved	QPRS, QARS, EPRS	EARS, PARS, GLUPRORS	NM_004446	ENSG00000136628
EPS8	Approved				ENSG00000151491
EPS8L1	Approved		FLJ20258, DRC3, MGC23164, MGC4642	NM_017729	ENSG00000131037
EPS8L2	Approved		FLJ21935, FLJ22171, MGC3088	NM_022772	ENSG00000177106
EPS8L3	Approved		FLJ21522, MGC16817	NM_024526	ENSG00000198758
EPS15	Approved		AF-1P, MLLT5	NM_001981	ENSG00000085832
EPS15-AS1	Approved				ENSG00000227070
EPS15L1	Approved		eps15R	NM_021235	ENSG00000127527
EPS15P1	Approved	EPS15L2	PRO1866	NG_008280	ENSG00000242948
EPSTI1	Approved		BRESI1, MGC29634	NM_001002264	ENSG00000133106
EPT	Symbol Withdrawn				
EPVE6AP	Symbol Withdrawn				
EPX	Approved		EPO, EPP, EPX-PEN	NM_000502	ENSG00000121053
EPYC	Approved	DSPG3	Pg-Lb, SLRR3B	NM_004950	ENSG00000083782
EQTN	Approved	C9orf11	AFAF, SPACA8, equatorin	NM_020641	ENSG00000120160
ERAL1	Approved		HERA-B		ENSG00000132591
ERAP1	Approved		ARTS-1, A-LAP, PILS-AP, KIAA0525, ERAAP1	NM_016442	ENSG00000164307
ERAP2	Approved		L-RAP, LRAP	NM_022350	ENSG00000164308
ERAS	Approved	HRAS2, HRASP		NM_181532	ENSG00000187682
ERBA1	Symbol Withdrawn				
ERBA2	Symbol Withdrawn				
ERBA2L	Symbol Withdrawn				
ERBAL2	Symbol Withdrawn				
ERBAL3	Symbol Withdrawn				
ERBB2	Approved	NGL	NEU, HER-2, CD340, HER2	NM_004448	ENSG00000141736
ERBB3	Approved	LCCS2	HER3	NM_001982	ENSG00000065361
ERBB4	Approved		ALS19, HER4	NM_001042599	ENSG00000178568
ERBIN	Approved	ERBB2IP	LAP2	NM_018695	ENSG00000112851
ERBIN-DT	Approved				ENSG00000269961
ERC1	Approved	RAB6IP2	ELKS, KIAA1081, CAST2, MGC12974	NM_015064	ENSG00000082805
ERC2	Approved		CAST, CAST1, KIAA0378, SPBC110, Spc110, ELKSL	NM_015576	ENSG00000187672
ERC2-IT1	Approved	C1orf1, C3orf51	Po42	NR_024615	ENSG00000281708
ERCC1	Approved		RAD10	NM_001983	ENSG00000012061
ERCC2	Approved	XPD	MAG, EM9, MGC102762, MGC126218, MGC126219	NM_000400	ENSG00000104884
ERCC3	Approved		XPB, BTF2, RAD25, Ssl2	NM_000122	ENSG00000163161
ERCC4	Approved	XPF	RAD1, FANCQ	NM_005236	ENSG00000175595
ERCC5	Approved	ERCM2, XPGC			ENSG00000134899
ERCC6	Approved	CKN2	CSB, RAD26, ARMD5	NM_000124	ENSG00000225830
ERCC6-PGBD3	Entry Withdrawn				
ERCC6L	Approved		FLJ20105, PICH, RAD26L	NM_017669	ENSG00000186871
ERCC6L2	Approved	C9orf102	FLJ37706, RAD26L, HEBO	NM_001010895	ENSG00000182150
ERCC6L2-AS1	Approved	C9orf130, LINC00476		NR_023389	ENSG00000175611
ERCC8	Approved	CKN1	CSA	NM_000082	ENSG00000049167
ERCC8-AS1	Approved				ENSG00000233847
ERCM1	Entry Withdrawn				
ERCM2	Symbol Withdrawn				
ERDA1	Approved				
EREG	Approved		ER		ENSG00000124882
ERF	Approved		PE-2, PE2	NM_006494	ENSG00000105722
ERF1	Symbol Withdrawn				
ERFE	Approved	FAM132B	FLJ37034, CTRP15, C1QTNF15	NM_001291832	ENSG00000178752
ERFL	Approved		erfl1		ENSG00000268041
ERG	Approved		erg-3, p55	NM_182918	ENSG00000157554
ERG28	Approved	C14orf1	NET51	NM_007176	ENSG00000133935
ERGIC1	Approved		ERGIC32, ERGIC-32, KIAA1181, NET24	NM_020462	ENSG00000113719
